Boid Count, Average, Minimum, Maximum
7780,24.87321,22.24981,25.83172
7800,24.71926,22.57234,25.69215
7820,24.56579,21.31469,25.65767
7840,24.49663,22.47186,25.48037
7860,24.29304,16.6365,25.88139
7880,24.2446,21.81748,25.21159
7900,24.02802,22.1357,24.99881
7920,23.90693,21.86643,24.95826
7940,23.80775,21.50071,24.99107
7960,23.68768,21.79818,24.64159
7980,23.57931,19.55225,24.67375
8000,23.48471,21.31973,24.4924
8020,23.3971,21.46047,24.44002
8040,23.22908,17.17233,24.28304
8060,23.14404,21.31796,24.06635
8080,23.04066,21.27406,23.90886
8100,22.86936,19.15247,24.03286
8120,22.81388,19.16619,23.92631
8140,22.66607,15.90768,23.94682
8160,22.59567,20.54455,23.3557
8180,22.52835,20.86476,23.28674
8200,22.44478,20.78151,23.15421
8220,22.36463,20.31344,23.23123
8240,22.20823,15.74384,23.8491
8260,22.19902,20.32388,22.99363
8280,22.11362,20.07061,22.91964
8300,22.04684,20.16487,22.82344
8320,21.95296,20.34824,22.73244
8340,21.77553,15.61573,23.21107
8360,21.79231,19.98821,22.60674
8380,21.64516,19.7063,22.59233
8400,21.58363,19.72476,22.38704
8420,21.42552,19.10008,22.24377
8440,21.25417,16.42338,22.0872
8460,21.26327,19.80504,21.94368
8480,21.12801,19.68264,21.80293
8500,21.04296,19.47772,21.89391
8520,20.99237,19.56714,21.75355
8540,20.82571,14.96359,22.20234
8560,20.68988,18.69945,21.50737
8580,20.64695,18.37438,21.45973
8600,20.6085,19.12009,21.39019
8620,20.50129,18.62579,21.35525
8640,20.31122,14.55636,21.51329
8660,20.24668,18.6997,21.13463
8680,20.21687,18.71962,21.01304
8700,20.08176,18.7613,21.01622
8720,19.92261,18.45764,20.71062
8740,19.75834,15.33895,20.90974
8760,19.73457,18.54916,20.48198
8780,19.6414,18.38779,20.4829
8800,19.5597,18.14806,20.51749
8820,19.45916,18.11548,20.26618
8840,19.40797,18.32119,20.18693
8860,19.33968,17.85906,20.16658
8880,19.22857,17.54503,20.06155
8900,19.18091,17.98102,19.90997
8920,19.12375,17.78787,19.78741
8940,19.06832,17.84096,19.74961
8960,18.93164,14.1162,20.08343
8980,18.90974,16.72118,19.68578
9000,18.86632,17.59182,19.54354
9020,18.76536,17.20584,19.45298
9040,18.70828,17.35505,19.42245
9060,18.57009,14.87648,19.47564
9080,18.55645,17.36765,19.30599
9100,18.48108,17.08844,19.21728
9120,18.38686,17.27146,19.11286
9140,18.30818,16.32355,19.00754
9160,18.20863,17.27053,18.89273
9180,18.08018,14.47195,19.01401
9200,18.02309,16.16389,18.6852
9220,18.00042,16.2793,18.65324
9240,17.91447,16.7493,18.60084
9260,17.8711,16.51571,18.56472
9280,17.71238,14.12803,18.36133
9300,17.67718,16.47916,18.33688
9320,17.6282,16.5928,18.24858
9340,17.56483,16.42306,18.18698
9360,17.46951,16.23324,18.10305
9380,17.37873,16.36061,18.18017
9400,17.29179,13.8897,18.09938
9420,17.29472,16.30199,17.95961
9440,17.19582,16.18689,17.81782
9460,17.12659,16.18948,17.79999
9480,17.04813,15.96679,17.74884
9500,16.95921,15.91591,17.58904
9520,16.87551,13.74242,17.7348
9540,16.83633,15.80243,17.41156
9560,16.74623,15.45213,17.31497
9580,16.67802,15.25278,17.27677
9600,16.46302,15.0361,17.27423
9620,15.7065,12.18378,16.83958
9640,16.48997,13.04545,17.00131
9660,16.50851,15.70964,16.95496
9680,16.32675,11.89192,16.87744
9700,16.16807,14.25271,16.97548
9720,16.3075,15.31835,16.93406
9740,16.25283,15.36778,16.79148
9760,16.22697,15.32887,16.85658
9780,16.14087,15.25451,16.75022
9800,16.10488,15.12955,16.63155
9820,15.98148,14.92658,16.53784
9840,15.93434,14.93773,16.53986
9860,15.87801,14.79605,16.38939
9880,15.73442,12.70698,16.31281
9900,15.72795,14.7673,16.30181
9920,15.66268,14.22418,16.24537
9940,15.6043,14.76006,16.15916
9960,15.58035,14.67692,16.07174
9980,15.52205,14.46132,16.00005
10000,15.45509,14.65893,15.96383
10020,15.38821,14.52939,15.90915
10040,15.33897,13.89725,15.85721
10060,15.27494,14.50127,15.8507
10080,15.20718,14.22281,15.71571
10100,15.15524,14.2219,15.62349
10120,15.10709,14.24893,15.57528
10140,15.02202,14.23198,15.4904
10160,14.98898,14.19771,15.55561
10180,14.89851,13.97472,15.43072
10200,14.85773,14.10519,15.29078
10220,14.79421,14.03286,15.21424
10240,14.76038,14.02247,15.2098
10260,14.68525,14.01612,15.21167
10280,14.64836,13.72463,15.14163
10300,14.5963,13.80097,15.04791
10320,14.52827,13.72211,14.96385
10340,14.48672,13.83344,14.96063
10360,14.37584,11.80884,14.89148
10380,14.40141,13.44693,14.88222
10400,14.34897,13.49938,14.78949
10420,14.31317,13.42269,14.71764
10440,14.2461,13.52629,14.71874
10460,14.20635,13.03716,14.6755
10480,14.15846,12.89343,14.65152
10500,14.11419,13.29018,14.58959
10520,14.033,13.21281,14.61881
10540,13.99933,13.36273,14.39624
10560,13.93741,13.26846,14.33496
10580,13.86929,12.81238,14.45772
10600,13.83297,12.76332,14.34852
10620,13.7437,10.54447,14.18094
10640,13.72126,13.06604,14.17726
10660,13.6219,12.89867,14.02487
10680,13.64657,12.98806,14.0195
10700,13.59848,12.84495,13.99239
10720,13.53871,12.89858,13.96315
10740,13.48671,12.58552,13.92734
10760,13.38211,12.23366,13.9341
10780,13.33545,12.85965,13.81393
10800,13.26106,12.37437,13.81824
10820,13.21294,12.61597,13.71985
10840,13.16742,12.57705,13.63403
10860,13.12432,12.53235,13.61695
10880,13.06553,12.55857,13.58076
10900,13.00744,12.40763,13.4896
10920,12.96573,12.46375,13.46129
10940,12.90794,12.29082,13.36543
10960,12.88006,12.35225,13.35889
10980,12.82221,12.23611,13.26719
11000,12.77408,12.21201,13.19038
11020,12.73631,12.04078,13.16918
11040,12.68896,12.23176,13.15826
11060,12.65568,12.15525,13.07159
11080,12.5865,12.03468,13.04975
11100,12.57417,12.04932,13.00713
11120,12.49501,9.886444,13.00159
11140,12.5142,12.03226,12.91841
11160,12.47718,11.96043,12.91069
11180,12.42527,11.94693,12.83092
11200,12.39272,11.85055,12.79353
11220,12.36181,11.83219,12.80623
11240,12.30297,11.75656,12.72368
11260,12.25243,11.6652,12.69069
11280,12.21955,11.727,12.68261
11300,12.16957,11.68791,12.60398
11320,12.10429,11.6736,12.53315
11340,12.0407,11.21608,12.48778
11360,12.00593,11.33559,12.48711
11380,11.94693,10.09832,12.3415
