Boid Count, Average, Minimum, Maximum
5100,31.58398,27.81494,33.28596
5120,31.44261,28.04978,33.04278
5140,31.28781,27.67339,32.92831
5160,31.05479,27.59801,32.77045
5180,30.85195,27.68595,32.81066
5200,30.77865,27.25011,32.51779
5220,30.57306,27.38631,32.50595
5240,30.49084,26.80785,32.24028
5260,29.98066,15.23874,32.77388
5280,29.85132,26.25244,31.98649
5300,29.53038,14.41076,31.61885
5320,29.6887,25.96431,31.39353
5340,29.54627,25.97059,31.32135
5360,29.28799,26.25492,31.07057
5380,29.13707,26.06502,30.61634
5400,28.98107,26.02438,30.67522
5420,28.87723,25.85643,30.5052
5440,28.47501,13.65807,30.39588
5460,28.56441,25.35201,30.72697
5480,28.35524,25.65056,30.03995
5500,28.10954,25.47089,29.65608
5520,28.17106,25.33095,30.01858
5540,27.9805,25.31293,29.28806
5560,27.86379,25.40044,29.22387
5580,27.73182,25.25878,29.09142
5600,27.54338,24.98932,29.29905
5620,27.33465,24.43028,28.60584
5640,27.22952,24.80251,28.42048
5660,27.09214,24.68161,28.43971
5680,26.92404,24.39447,28.21495
5700,26.78297,24.33807,28.06395
5720,26.60992,24.23584,27.872
5740,26.31589,23.40462,27.53903
5760,26.34525,23.95634,27.39914
5780,26.27454,23.87472,27.60601
5800,26.09586,23.10536,27.24068
5820,25.92415,22.30142,27.34242
5840,25.75397,23.40545,26.90146
5860,25.89141,23.90075,26.98953
5880,25.8236,23.71034,26.90204
5900,25.67842,23.05178,26.67485
5920,25.55829,23.04562,26.58655
5940,25.49856,23.22271,26.86071
5960,25.33098,23.45854,26.58542
5980,25.08204,22.78366,26.22469
6000,25.23114,23.12609,26.31524
6020,25.03789,13.54324,26.35275
6040,25.0764,23.07524,26.10114
6060,24.98487,22.86117,26.03285
6080,24.7352,21.89511,25.88233
6100,24.7804,22.84764,25.8844
6120,24.65928,22.58922,25.65945
6140,24.57832,22.17546,25.61016
6160,24.46754,21.98512,25.47063
6180,24.4557,21.62321,25.45598
6200,24.32691,22.29828,25.4486
6220,24.2951,21.83411,25.29321
6240,24.1116,21.76075,25.11364
6260,23.99066,21.68534,25.1045
6280,23.98902,21.63636,24.97029
6300,23.90745,22.24674,24.93971
6320,23.7551,21.51773,24.91659
6340,23.57949,21.54406,24.55518
6360,23.44424,20.72225,24.52237
6380,23.19065,13.07655,24.25224
6400,23.17496,21.08548,24.14351
6420,22.95959,20.52486,23.97093
6440,22.68859,20.36764,23.71922
6460,22.43213,20.89292,23.48984
6480,22.12777,20.68192,23.14938
6500,21.79815,19.96877,22.65668
6520,21.74849,19.74759,22.71566
6540,21.72643,20.07996,22.53897
6560,21.67451,20.07182,22.51852
6580,21.5104,19.70187,22.33828
6600,21.31592,19.23402,22.25392
6620,21.33953,19.39928,22.30182
6640,21.12074,19.00927,22.23378
6660,21.09458,19.39684,22.04255
6680,20.93861,19.19106,21.75232
6700,20.69344,19.06349,21.71982
6720,20.6971,19.19681,21.64231
6740,20.62828,19.04258,21.5787
6760,20.49691,18.10814,21.5521
6780,20.29026,18.86376,21.52681
6800,20.19746,18.58311,21.16035
6820,20.07197,18.47091,21.4208
6840,20.02119,18.50991,20.89009
6860,19.89445,18.46794,20.78639
6880,19.74779,18.09942,20.91683
6900,19.65977,18.25117,20.89187
6920,19.6562,18.41889,20.69828
6940,19.49977,17.39342,20.70809
6960,19.42635,17.94311,20.48047
6980,19.37264,17.90924,20.48488
7000,19.14464,17.25947,20.09994
7020,19.21759,17.86984,20.33913
7040,19.11069,17.75382,20.08912
7060,18.94844,11.05048,19.95072
7080,19.01513,17.73053,19.96917
7100,18.91857,17.7999,19.90925
7120,18.87418,17.70391,19.8467
7140,18.80886,17.44221,19.48528
7160,18.70565,16.81133,19.51509
7180,18.70969,17.62388,19.42925
7200,18.57276,17.3992,19.38296
7220,18.50499,17.24599,19.13777
7240,18.45933,17.26108,19.22219
7260,18.39511,17.33688,19.10566
7280,18.32985,17.28794,19.03613
7300,18.25248,17.15013,18.96119
7320,18.21706,17.17484,18.93079
7340,18.18185,17.08981,18.89191
7360,18.10131,17.08161,18.70774
7380,18.05358,16.97948,18.77832
7400,17.9842,16.83581,18.60521
7420,17.92282,16.98592,18.65018
7440,17.85192,16.73041,18.55556
7460,17.85551,16.82638,18.53823
7480,17.80746,16.75205,18.51026
7500,17.62365,10.49798,18.46647
7520,17.68644,16.76235,18.30778
7540,17.59647,16.60418,18.22549
7560,17.56815,16.229,18.20744
7580,17.46926,16.49221,18.08845
7600,17.36019,15.7301,18.05628
7620,17.41323,16.1582,18.04175
7640,17.3553,16.33917,17.95513
7660,17.29248,15.66639,17.93378
7680,17.24179,16.35917,17.92054
7700,17.193,16.21581,17.86362
7720,17.12898,16.13169,17.67496
7740,17.07601,15.34644,17.66894
7760,17.00818,15.87869,17.65132
7780,16.97215,15.95217,17.66223
7800,16.93488,16.07911,17.48533
7820,16.68851,8.951374,17.40723
7840,16.77722,15.68827,17.36892
7860,16.75182,15.74089,17.3404
7880,16.70709,15.57157,17.23891
7900,16.66898,15.31705,17.20664
7920,16.5584,15.67538,17.17045
7940,16.47964,15.33411,17.09513
7960,16.43893,15.40244,17.11356
7980,16.34598,15.41656,16.97519
8000,16.27427,15.34319,16.93601
8020,16.13447,14.9888,16.73794
8040,15.98515,14.54372,16.64727
